TITLE = "Convergence p=01"
VARIABLES = "time steps"   "error"      "CFL"       "Linear Iterations"
1	1.529946866148864E-004	100.000000000000	67
2	8.485395066292122E-005	213.592714960302	143
3	6.179502441827806E-005	385.115250772333	257
4	5.107020919131723E-005	528.821710100470	354
5	4.351003693601831E-005	639.875007485381	423
6	3.802954814804719E-005	751.057751034044	476
7	3.551295006415316E-005	859.293682937228	530
8	3.287852138872344E-005	920.186873507867	560
9	2.855236307343271E-005	993.917886458911	594
10	2.326247656401260E-005	1144.51299195550	669
11	1.817304636137895E-005	1404.77521379337	820
12	1.390317518570964E-005	1798.18781280512	1027
13	9.901938897041012E-006	2350.43794328095	1297
14	5.438068034576457E-006	3300.21734413443	1724
15	1.882062255418727E-006	6009.22060569977	2755
16	6.643518936842785E-007	17363.1612846429	5424
17	2.602844623326311E-007	49188.6164534725	7833
18	5.135679978300777E-008	125549.370852619	9712
19	6.198964057706870E-009	636304.260130054	11087
20	6.356765797662695E-010	5271614.77052709	11626
21	6.373403684467791E-011  512733103.164528	11696
22	6.375078952955768E-012  512733103.164528 	11696
